Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,31860,31860,,31860,31230,29736,29736,28910,28745,29736,33040,,29736,29736,29736,28910,30837,29736,29736,29323,29736,28462,27612,29739,Average Unit Value (AUV),311
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,45135,42480,,45135,45135,44604,,,44108,,,,44604,41182,44604,,44604,44604,,,,42126,,43966,Average Unit Value (AUV),312
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,6297,6313,6313,6313,6313,5841,5841,5841,5841,5815,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5744,5841,5926,Average Unit Value (AUV),313
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10632,9405,11735,12036,11585,10991,10751,11092,11092,10988,10991,11092,10820,10846,11092,11092,11092,11092,10537,11092,11092,10921,10353,10984,Average Unit Value (AUV),314
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,11092,,,11092,Average Unit Value (AUV),315
Average Unit Value (AUV),"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,1770,1770,1770,1770,,,1652,1652,1652,,,,,,,,,,,,,,1708,Average Unit Value (AUV),316
Average Unit Value (AUV),"Kwality House, Kemps Corner",Others,Others,476,574,97,168,225,48,20,323,348,220,345,190,3209,993,,924,261,,,,,,,442,Average Unit Value (AUV),317
Average Unit Value (AUV),"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,1,Average Unit Value (AUV),318
Average Unit Value (AUV),"Kwality House, Kemps Corner",Privates,Studio Private Class,7021,50642,5900,57033,31550,27533,,34294,12221,27533,56050,5900,32450,16681,14229,12907,56640,16520,16389,53100,5612,4921,,17065,Average Unit Value (AUV),319
Average Unit Value (AUV),"Kwality House, Kemps Corner",Privates,Virtual Private Class,,53100,,51330,5310,,47790,,,,,,,24426,,5269,10620,5310,5310,5310,5310,,5310,10486,Average Unit Value (AUV),320
Average Unit Value (AUV),"Kwality House, Kemps Corner",Retail,Retail,992,546,410,711,853,384,517,449,1424,654,627,356,891,426,257,340,653,274,598,412,213,556,298,542,Average Unit Value (AUV),321
Average Unit Value (AUV),"Kwality House, Kemps Corner",Sessions/Single Classes,Session,1789,1770,1799,1770,1838,1607,1800,962,1652,1652,1749,1652,1652,1652,1650,1630,1652,,1652,1652,1612,1573,,1568,Average Unit Value (AUV),322
Average Unit Value (AUV),"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,1764,1761,1758,1754,1759,1652,1629,1630,1638,1646,1640,1652,1652,1652,1647,1641,1629,1652,1652,1652,1652,1559,1534,1660,Average Unit Value (AUV),323
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,16716,15902,16114,13973,16420,16196,15875,15239,15435,16230,15794,15775,16311,15542,15430,15278,15454,15470,14698,15930,16441,15604,15134,15608,Average Unit Value (AUV),324
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,9529,10030,10030,10030,9905,8801,8726,9027,9027,9027,9027,9027,9027,9027,8756,9027,9027,9027,9027,9027,7670,8349,8350,9041,Average Unit Value (AUV),325
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,49619,43738,47480,50047,45865,47053,45024,37358,43890,43402,46241,43402,40765,41480,45024,48675,38502,42479,41142,32991,42996,41577,41374,43534,Average Unit Value (AUV),326
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,17110,17110,,17110,16520,16225,16225,,,,,16225,16225,16225,16225,,,16225,,16225,,,,16422,Average Unit Value (AUV),327
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,80712,81721,85757,80712,84075,81926,81243,76464,81243,,,82836,76464,77128,84429,75000,,90801,,86022,75000,80801,,81416,Average Unit Value (AUV),328
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,150595,150000,,150893,150096,,,140715,,,,,150096,,,150096,137901,,,,115096,,142974,Average Unit Value (AUV),329
Average Unit Value (AUV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,14072,,,14072,,14072,,15635,,14072,14072,14072,,14075,,,,,,14419,Average Unit Value (AUV),330
Average Unit Value (AUV),"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,15812,15783,15930,15930,15930,13487,14868,14524,14868,14868,14868,14868,,,,,,,,,,,,14968,Average Unit Value (AUV),331
Average Unit Value (AUV),"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,16827,16927,15865,16427,15095,15117,14932,15006,15253,15713,14811,13892,14480,,,,,,,,,,,15394,Average Unit Value (AUV),332
Average Unit Value (AUV),"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,31860,31860,29406,31388,28084,29736,29736,29736,,,,,,,,,,,,,30295,Average Unit Value (AUV),333
Average Unit Value (AUV),"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,44604,,,,,,,,,,,,,,,,,44604,Average Unit Value (AUV),334
Average Unit Value (AUV),"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,6313,6313,6313,6313,6313,5841,5674,5452,5841,5841,5841,5841,5841,,,,,,,,,,,5942,Average Unit Value (AUV),335
Average Unit Value (AUV),"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,10431,10351,10832,10832,12036,9706,10722,10445,10537,10745,11092,10685,9955,,,,,,,,,,,10482,Average Unit Value (AUV),336
Average Unit Value (AUV),"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,1770,1762,1770,1770,1770,1652,1652,1652,1652,1652,,,,,,,,,,,,,,1709,Average Unit Value (AUV),337
Average Unit Value (AUV),"Supreme HQ, Bandra",Others,Others,550,194,88,103,528,,403,348,,,,222,,,,,,,,,,,,280,Average Unit Value (AUV),338
Average Unit Value (AUV),"Supreme HQ, Bandra",Privates,Studio Private Class,5900,,,,27730,,,,,,,,5900,,,,,,,,,,,13177,Average Unit Value (AUV),339
Average Unit Value (AUV),"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,5000,,,,,,,,,,,,,,,,,,,5000,Average Unit Value (AUV),340
Average Unit Value (AUV),"Supreme HQ, Bandra",Retail,Retail,1225,892,1173,393,555,633,555,1098,1072,816,627,615,1505,,,,,,,,,,,880,Average Unit Value (AUV),341
Average Unit Value (AUV),"Supreme HQ, Bandra",Sessions/Single Classes,Session,1914,1791,2017,1829,1805,1739,1640,910,1724,1779,1982,1652,,,,,,,,,,,,1649,Average Unit Value (AUV),342
Average Unit Value (AUV),"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,1770,1760,1763,1770,1770,1652,1652,1635,1644,1635,1652,1652,1652,,,,,,,,,,,1691,Average Unit Value (AUV),343
Average Unit Value (AUV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,15787,14994,15858,14314,15464,14766,15263,14965,15234,15206,15176,14987,16605,,,,,,,,,,,15200,Average Unit Value (AUV),344
Average Unit Value (AUV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,10030,10030,9529,,,8575,9027,9027,8756,9027,8349,8688,7670,,,,,,,,,,,8686,Average Unit Value (AUV),345
Average Unit Value (AUV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,47344,42492,45684,50688,44657,43321,42591,40968,42347,43402,41982,42591,42591,,,,,,,,,,,43973,Average Unit Value (AUV),346
Average Unit Value (AUV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,80000,,,85757,85757,81243,,81243,82836,,,,86022,,,,,,,,,,,83170,Average Unit Value (AUV),347
Average Unit Value (AUV),"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,151509,165495,,,150096,,,,,,,,,,,,,,,,,,152904,Average Unit Value (AUV),348
Average Transaction Value (ATV),"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,16941,15783,15930,15930,15930,13487,14868,14524,14868,14868,14868,14868,,,,,,,,,,,,15239,Average Transaction Value (ATV),349
Average Transaction Value (ATV),"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,18696,16927,15865,16427,15095,15117,14932,15006,15253,15713,14811,13892,14480,,,,,,,,,,,15555,Average Transaction Value (ATV),350
Average Transaction Value (ATV),"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,31860,31860,29406,31388,28084,29736,29736,29736,,,,,,,,,,,,,30226,Average Transaction Value (ATV),351
Average Transaction Value (ATV),"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,44604,,,,,,,,,,,,,,,,,44604,Average Transaction Value (ATV),352
Average Transaction Value (ATV),"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,6313,6313,6313,6313,6313,5841,5674,5452,5841,5841,5841,5841,5841,,,,,,,,,,,5980,Average Transaction Value (ATV),353
Average Transaction Value (ATV),"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,10431,10351,10832,10832,12036,9706,10722,10445,10537,10745,11092,10685,9955,,,,,,,,,,,10644,Average Transaction Value (ATV),354
Average Transaction Value (ATV),"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,1770,1762,1770,1770,1770,1652,1652,1652,1652,1652,,,,,,,,,,,,,,1710,Average Transaction Value (ATV),355
Average Transaction Value (ATV),"Supreme HQ, Bandra",Others,Others,550,194,88,103,528,,403,348,,,,222,,,,,,,,,,,,305,Average Transaction Value (ATV),356
Average Transaction Value (ATV),"Supreme HQ, Bandra",Privates,Studio Private Class,8850,,,,27730,,,,,,,,5900,,,,,,,,,,,14160,Average Transaction Value (ATV),357
Average Transaction Value (ATV),"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,20000,,,,,,,,,,,,,,,,,,,20000,Average Transaction Value (ATV),358
Average Transaction Value (ATV),"Supreme HQ, Bandra",Retail,Retail,1522,1458,1664,623,676,977,833,1547,1437,1101,664,831,1968,,,,,,,,,,,1177,Average Transaction Value (ATV),359
Average Transaction Value (ATV),"Supreme HQ, Bandra",Sessions/Single Classes,Session,1914,1791,2017,1829,1805,1739,1640,921,1724,1779,1982,1652,,,,,,,,,,,,1733,Average Transaction Value (ATV),360
Average Transaction Value (ATV),"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,1833,1760,1763,1770,1770,1652,1809,1635,1725,1684,1927,1746,1652,,,,,,,,,,,1748,Average Transaction Value (ATV),361
Average Transaction Value (ATV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,15787,14994,15858,17495,15464,14766,15263,14965,15234,15206,15176,14987,16605,,,,,,,,,,,15523,Average Transaction Value (ATV),362
Average Transaction Value (ATV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,10030,10030,9529,,,8575,9027,9027,8756,9027,8349,8688,7670,,,,,,,,,,,8973,Average Transaction Value (ATV),363
Average Transaction Value (ATV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,47344,42492,45684,50688,44657,43321,42591,40968,42347,43402,41982,42591,42591,,,,,,,,,,,43897,Average Transaction Value (ATV),364
Average Transaction Value (ATV),"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,80000,,,85757,85757,81243,,81243,82836,,,,86022,,,,,,,,,,,83265,Average Transaction Value (ATV),365
Average Transaction Value (ATV),"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,151509,165495,,,150096,,,,,,,,,,,,,,,,,,155700,Average Transaction Value (ATV),366
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,15930,21240,19824,15930,15930,12209,15694,15143,15143,14868,,14868,14868,16520,,,,,,13216,,13570,,15664,Average Transaction Value (ATV),367
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,16176,16316,16427,16161,16871,15730,15424,15362,17620,16343,15526,15212,15362,15072,15292,16343,16343,14475,15117,16343,16343,14872,14300,15784,Average Transaction Value (ATV),368
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,31860,31860,,31860,31230,29736,29736,28910,28745,29736,33040,,29736,29736,29736,38547,30837,29736,29736,29323,29736,28462,27612,30472,Average Transaction Value (ATV),369
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,45135,42480,,45135,45135,44604,,,44108,,,,44604,41182,44604,,44604,44604,,,,42126,,44027,Average Transaction Value (ATV),370
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,6297,6313,6313,6313,6313,5841,5841,5841,5841,5815,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5744,5841,5938,Average Transaction Value (ATV),371
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10632,9405,11735,12036,11585,10991,11647,11092,11092,10988,10991,11092,10820,10846,11092,11092,11092,11092,10537,11092,11092,10921,10353,11014,Average Transaction Value (ATV),372
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,11092,,,11092,Average Transaction Value (ATV),373
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,1770,1770,1770,1770,,,1652,1652,1652,,,,,,,,,,,,,,1719,Average Transaction Value (ATV),374
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Others,Others,476,574,97,168,225,48,20,323,348,220,345,190,3209,993,,924,261,,,,,,,526,Average Transaction Value (ATV),375
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,1,Average Transaction Value (ATV),376
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Privates,Studio Private Class,7021,101283,5900,85550,42067,41300,,91450,42775,82600,112100,5900,32450,45873,34557,32267,141600,82600,49167,106200,5612,5310,,54932,Average Transaction Value (ATV),377
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Privates,Virtual Private Class,,53100,,76995,5310,,95580,,,,,,,40710,,10538,95580,26550,5310,5310,5310,,69030,40777,Average Transaction Value (ATV),378
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Retail,Retail,1496,759,536,1039,1019,633,621,626,2350,1342,1107,634,1707,935,445,633,1185,611,1003,738,360,883,537,922,Average Transaction Value (ATV),379
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Sessions/Single Classes,Session,1789,1770,1799,1770,1838,1607,1800,971,1652,1652,1749,1652,1652,1652,1650,1630,1652,,1652,1652,1612,1573,,1656,Average Transaction Value (ATV),380
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,1856,1808,1811,1942,1759,2183,1629,2296,2227,2024,1822,1652,1701,2047,2013,1669,1901,1710,1652,1809,1652,1559,1534,1837,Average Transaction Value (ATV),381
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,17645,15902,16114,21594,16420,16196,15875,15239,15435,16230,15794,15775,16311,15542,15430,15278,15454,15470,14698,15930,16441,15604,15134,16066,Average Transaction Value (ATV),382
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,9529,10030,10030,10030,9905,8801,8726,9027,9027,9027,9027,9027,9027,9027,8756,9027,9027,9027,9027,9027,7670,8349,8350,9065,Average Transaction Value (ATV),383
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,49619,43738,47480,50047,45865,47053,45024,37358,43890,43402,46241,43402,40765,41480,45024,48675,38502,42479,41142,32991,42996,41577,41374,43484,Average Transaction Value (ATV),384
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,17110,17110,,17110,16520,16225,16225,,,,,16225,16225,16225,16225,,,16225,,16225,,,,16471,Average Transaction Value (ATV),385
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,80712,81721,85757,80712,84075,81926,81243,76464,81243,,,82836,76464,77128,84429,75000,,90801,,86022,75000,80801,,81241,Average Transaction Value (ATV),386
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,150595,150000,,150893,150096,,,140715,,,,,150096,,,150096,137901,,,,115096,,143943,Average Transaction Value (ATV),387
Average Transaction Value (ATV),"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,14072,,,14072,,14072,,31270,,14072,14072,14072,,14075,,,,,,16222,Average Transaction Value (ATV),388
Average Transaction Value (ATV),Kenkere House,Class Packages,Studio 10 Single Class Package,,12744,11328,13452,12744,,12201,,10384,11682,,11682,12980,,,,,,,,,,,12133,Average Transaction Value (ATV),389
Average Transaction Value (ATV),Kenkere House,Class Packages,Studio 12 Class Package,12169,13591,13275,15420,13570,12286,13167,12801,12001,12513,12667,,13334,13334,13334,13334,13334,12001,12334,,,,,13026,Average Transaction Value (ATV),390
Average Transaction Value (ATV),Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,19800,,,,,,,19800,Average Transaction Value (ATV),391
Average Transaction Value (ATV),Kenkere House,Class Packages,Studio 4 Class Package,5251,5251,,5251,5251,4779,4779,4779,4779,4779,4642,4779,4779,4779,4779,4779,4779,4711,4460,,,,,4855,Average Transaction Value (ATV),392
Average Transaction Value (ATV),Kenkere House,Class Packages,Studio 8 Class Package,8400,9304,9359,9794,9468,8463,8518,8408,8518,8481,8408,8408,8496,7965,8850,8206,8850,8496,7788,,,,,8641,Average Transaction Value (ATV),393
Average Transaction Value (ATV),Kenkere House,Intro Offers,Studio Newcomers 2 For 1,1416,1416,1416,1345,1416,1298,1298,,,,,,,,,,,,,,,,,1372,Average Transaction Value (ATV),394
Average Transaction Value (ATV),Kenkere House,Others,Others,284,,,,2000,,,,,,,,,,,,,,,,,,,1142,Average Transaction Value (ATV),395
Average Transaction Value (ATV),Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Average Transaction Value (ATV),396
Average Transaction Value (ATV),Kenkere House,Privates,Studio Private Class,,,,,,,,,,,4632,,,,,,,,,,,,,4632,Average Transaction Value (ATV),397
Average Transaction Value (ATV),Kenkere House,Retail,Retail,595,400,722,781,588,656,851,1009,1015,757,562,827,748,795,659,417,836,529,103,,,,,676,Average Transaction Value (ATV),398
Average Transaction Value (ATV),Kenkere House,Sessions/Single Classes,Session,2164,1409,1662,1517,1416,,1298,1146,2411,1428,1098,1298,1298,1298,1298,1298,1298,1298,,,,,,1449,Average Transaction Value (ATV),399
Average Transaction Value (ATV),Kenkere House,Sessions/Single Classes,Studio Single Class,1455,1478,1416,1466,1412,1298,1292,1298,1298,1293,1319,1298,1298,1298,1298,1293,1340,1298,1298,,,,,1339,Average Transaction Value (ATV),400
Average Transaction Value (ATV),Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,14261,14389,14270,20913,14619,13961,14230,14453,14626,14008,13753,14559,13382,13540,13382,12844,15281,14262,13447,,,,,14431,Average Transaction Value (ATV),401
Average Transaction Value (ATV),Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,8496,8154,6785,7355,7000,7387,6785,7788,7788,7287,7645,7454,7150,7537,7454,7119,7282,6785,6785,,,,,7370,Average Transaction Value (ATV),402
Average Transaction Value (ATV),Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,37949,35577,37949,37949,40321,41869,37903,39225,39666,44073,39666,39666,38931,35258,38197,37462,44073,37462,38784,,,,,39052,Average Transaction Value (ATV),403
Average Transaction Value (ATV),Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,69296,,78535,,85668,68534,,,,,,64251,64251,,,,,,,,,,71756,Average Transaction Value (ATV),404
Average Transaction Value (ATV),Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,22066,,,,,,,,,,,,,,,,,,,,,,22066,Average Transaction Value (ATV),405
Average Transaction Value (ATV),Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,175584,,,,,,,,,,,,,,133104,,133104,133104,,,,,143724,Average Transaction Value (ATV),406
Average Spend Value (ASV),Kenkere House,Class Packages,Studio 10 Single Class Package,,12744,11328,13452,12744,,12201,,10384,11682,,11682,12980,,,,,,,,,,,12457,Average Spend Value (ASV),407
Average Spend Value (ASV),Kenkere House,Class Packages,Studio 12 Class Package,12169,13591,13275,11308,13570,12286,13167,12801,12001,12513,12667,,13334,13334,13334,13334,13334,12001,12334,,,,,12647,Average Spend Value (ASV),408
Average Spend Value (ASV),Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,19800,,,,,,,19800,Average Spend Value (ASV),409
Average Spend Value (ASV),Kenkere House,Class Packages,Studio 4 Class Package,5251,5251,,5251,5251,4779,4779,4779,4779,4779,4642,4779,4779,4779,4779,4779,4779,4711,4460,,,,,4793,Average Spend Value (ASV),410
Average Spend Value (ASV),Kenkere House,Class Packages,Studio 8 Class Package,8400,9304,9359,9794,9468,8463,8518,8408,8518,8481,8408,8408,8496,7965,8850,8206,8850,8496,7788,,,,,8703,Average Spend Value (ASV),411
Average Spend Value (ASV),Kenkere House,Intro Offers,Studio Newcomers 2 For 1,1416,1416,1416,1345,1416,1298,1298,,,,,,,,,,,,,,,,,1395,Average Spend Value (ASV),412
Average Spend Value (ASV),Kenkere House,Others,Others,284,,,,2000,,,,,,,,,,,,,,,,,,,1142,Average Spend Value (ASV),413
Average Spend Value (ASV),Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Average Spend Value (ASV),414
Average Spend Value (ASV),Kenkere House,Privates,Studio Private Class,,,,,,,,,,,4632,,,,,,,,,,,,,4632,Average Spend Value (ASV),415
Average Spend Value (ASV),Kenkere House,Retail,Retail,457,309,368,452,309,584,593,525,805,589,375,574,438,636,304,324,442,272,103,,,,,438,Average Spend Value (ASV),416
Average Spend Value (ASV),Kenkere House,Sessions/Single Classes,Session,2164,1409,1662,1517,1416,,1298,1146,2411,1428,1098,1298,1298,1298,1298,1298,1298,1298,,,,,,1513,Average Spend Value (ASV),417
Average Spend Value (ASV),Kenkere House,Sessions/Single Classes,Studio Single Class,1407,1409,1416,1411,1412,1298,1292,1298,1298,1293,1298,1298,1298,1298,1298,1293,1298,1298,1298,,,,,1328,Average Spend Value (ASV),418
Average Spend Value (ASV),Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,14261,14389,14270,12869,14619,13961,14230,14453,14626,14008,13753,14559,13382,13540,13382,12844,15281,14262,13447,,,,,13962,Average Spend Value (ASV),419
Average Spend Value (ASV),Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,8496,8154,6785,7355,7000,7387,6785,7788,7788,7287,7645,7454,7150,7537,7454,7119,7282,6785,6785,,,,,7321,Average Spend Value (ASV),420
Average Spend Value (ASV),Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,37949,35577,37949,37949,40321,41869,37903,39225,39666,44073,39666,39666,38931,35258,38197,37462,44073,37462,38784,,,,,38617,Average Spend Value (ASV),421
Average Spend Value (ASV),Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,69296,,78535,,85668,68534,,,,,,64251,64251,,,,,,,,,,71756,Average Spend Value (ASV),422
Average Spend Value (ASV),Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,22066,,,,,,,,,,,,,,,,,,,,,,22066,Average Spend Value (ASV),423
Average Spend Value (ASV),Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,175584,,,,,,,,,,,,,,133104,,133104,133104,,,,,143724,Average Spend Value (ASV),424
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,15930,15171,16520,15930,15930,12209,15694,15143,15143,14868,,14868,14868,16520,,,,,,13216,,13570,,14745,Average Spend Value (ASV),425
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,16176,16316,16427,16161,16871,15730,15424,15362,14838,16343,15526,15212,15362,15072,15292,16343,16343,14475,15117,16343,16343,14872,14300,15704,Average Spend Value (ASV),426
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,31860,31860,,31860,31230,29736,29736,28910,28745,29736,33040,,29736,29736,29736,28910,30837,29736,29736,29323,29736,28462,27612,29739,Average Spend Value (ASV),427
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,45135,42480,,45135,45135,44604,,,44108,,,,44604,41182,44604,,44604,44604,,,,42126,,43966,Average Spend Value (ASV),428
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,6297,6313,6313,6313,6313,5841,5841,5841,5841,5815,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5841,5744,5841,5926,Average Spend Value (ASV),429
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10632,9405,11735,12036,11585,10991,10751,11092,11092,10988,10991,11092,10820,10846,11092,11092,11092,11092,10537,11092,11092,10921,10353,10984,Average Spend Value (ASV),430
Average Spend Value (ASV),"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,11092,,,11092,Average Spend Value (ASV),431
Average Spend Value (ASV),"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,1770,1770,1770,1770,,,1652,1652,1652,,,,,,,,,,,,,,1708,Average Spend Value (ASV),432
Average Spend Value (ASV),"Kwality House, Kemps Corner",Others,Others,476,574,97,168,225,48,20,323,348,220,345,190,3209,993,,924,261,,,,,,,442,Average Spend Value (ASV),433
Average Spend Value (ASV),"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,1,Average Spend Value (ASV),434
Average Spend Value (ASV),"Kwality House, Kemps Corner",Privates,Studio Private Class,7021,50642,5900,57033,31550,27533,,34294,12221,27533,56050,5900,32450,16681,14229,12907,56640,16520,16389,53100,5612,4921,,17065,Average Spend Value (ASV),435
Average Spend Value (ASV),"Kwality House, Kemps Corner",Privates,Virtual Private Class,,53100,,51330,5310,,47790,,,,,,,24426,,5269,10620,5310,5310,5310,5310,,5310,10486,Average Spend Value (ASV),436
Average Spend Value (ASV),"Kwality House, Kemps Corner",Retail,Retail,992,546,410,711,853,384,517,449,1424,654,627,356,891,426,257,340,653,274,598,412,213,556,298,542,Average Spend Value (ASV),437
Average Spend Value (ASV),"Kwality House, Kemps Corner",Sessions/Single Classes,Session,1789,1770,1799,1770,1838,1607,1800,962,1652,1652,1749,1652,1652,1652,1650,1630,1652,,1652,1652,1612,1573,,1568,Average Spend Value (ASV),438
Average Spend Value (ASV),"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,1764,1761,1758,1754,1759,1652,1629,1630,1638,1646,1640,1652,1652,1652,1647,1641,1629,1652,1652,1652,1652,1559,1534,1660,Average Spend Value (ASV),439
