Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Units Sold,Kenkere House,Class Packages,Studio 4 Class Package,1,3,,1,2,4,5,5,2,2,7,5,1,6,4,4,5,7,3,,,,,67,Units Sold,120
Units Sold,Kenkere House,Class Packages,Studio 8 Class Package,13,17,9,5,6,8,12,9,8,12,11,6,5,1,5,11,16,6,1,,,,,161,Units Sold,121
Units Sold,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,3,6,2,4,17,1,3,,,,,,,,,,,,,,,,,36,Units Sold,122
Units Sold,Kenkere House,Others,Others,1,,,,1,,,,,,,,,,,,,,,,,,,2,Units Sold,123
Units Sold,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Units Sold,124
Units Sold,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,1,,,,,,,,,,,,,1,Units Sold,125
Units Sold,Kenkere House,Retail,Retail,43,31,47,38,59,18,33,75,29,36,33,49,41,10,39,36,70,74,6,,,,,767,Units Sold,126
Units Sold,Kenkere House,Sessions/Single Classes,Session,41,19,23,14,10,,5,22,7,10,5,1,13,20,18,19,16,13,,,,,,256,Units Sold,127
Units Sold,Kenkere House,Sessions/Single Classes,Studio Single Class,30,43,46,53,72,40,46,31,51,54,62,49,42,50,61,57,64,35,1,,,,,887,Units Sold,128
Units Sold,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,18,11,5,13,23,11,8,12,14,6,16,8,11,12,22,10,3,3,2,,,,,208,Units Sold,129
Units Sold,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,2,5,2,3,4,5,1,1,3,4,7,3,11,4,3,3,6,11,2,,,,,80,Units Sold,130
Units Sold,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,1,2,7,4,1,4,5,5,3,3,1,1,3,7,3,2,1,1,1,,,,,55,Units Sold,131
Units Sold,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,1,,1,,1,1,,,,,,1,1,,,,,,,,,,6,Units Sold,132
Units Sold,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,1,,,,,,,,,,,,,,,,,,,,,,1,Units Sold,133
Units Sold,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,1,,,,,,,,,,,,,,1,,1,1,,,,,4,Units Sold,134
Units Sold,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,9,7,6,3,4,15,2,6,6,5,,1,1,1,,,,,,1,,2,,69,Units Sold,135
Units Sold,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,8,24,18,10,9,4,8,5,19,8,6,13,10,18,7,7,5,7,8,5,5,5,2,211,Units Sold,136
Units Sold,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,1,2,,2,2,2,1,2,5,1,1,,2,1,1,4,3,2,4,4,2,5,1,48,Units Sold,137
Units Sold,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,1,2,,3,1,1,,,5,,,,1,2,1,,2,1,,,,1,,21,Units Sold,138
Units Sold,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,7,6,13,7,6,13,4,6,7,18,15,3,11,9,9,8,11,7,2,9,10,12,2,195,Units Sold,139
Units Sold,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10,7,8,5,8,11,13,7,15,16,22,7,11,18,13,12,13,5,4,9,11,13,3,241,Units Sold,140
Units Sold,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,1,,,1,Units Sold,141
Units Sold,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,3,6,1,1,,,2,1,9,,,,,,,,,,,,,,23,Units Sold,142
Units Sold,"Kwality House, Kemps Corner",Others,Others,13,12,4,3,7,2,2,3,1,5,5,6,2,2,,2,4,,,,,,,73,Units Sold,143
Units Sold,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,2,Units Sold,144
Units Sold,"Kwality House, Kemps Corner",Privates,Studio Private Class,1,6,1,3,4,6,,8,7,9,4,1,4,22,17,15,5,5,9,2,41,41,,211,Units Sold,145
